gis_join,time
G0800730,429.21271109580994
G2900350,441.4697198867798
G4200970,449.3071377277374
G0800330,428.38630199432373
G2001490,445.66133880615234
G3100070,361.45639991760254
G5106850,410.4193985462189
G1701850,408.1850244998932
G2902230,341.74639678001404
G3100030,364.11279821395874
G1900270,436.0534415245056
G5400210,342.9239501953125
G2100590,342.4739429950714
G4900450,442.75015902519226
G4600570,457.49283814430237
G2101270,397.95210361480713
G3101670,439.6049871444702
G3000490,433.7509982585907
G2700630,376.5080440044403
G2102110,372.23851346969604
G5400690,400.56867933273315
G2700150,440.76884031295776
G2000470,411.28528118133545
G4100530,428.1789798736572
G1800090,327.9372057914734
G0800830,440.6496317386627
G2100970,292.65163135528564
G3400330,412.9699146747589
G3000930,402.76698780059814
G3900250,323.430242061615
G1900450,362.58758306503296
G3300110,366.26866030693054
G5100510,416.86172556877136
G2101330,350.38406801223755
G3100410,318.3743796348572
G3101290,376.7854859828949
G0800130,438.30457186698914
G2700390,329.500346660614
G2900990,427.22282361984253
G5500830,442.83498072624207
G3101810,443.78338503837585
G3601210,403.7801899909973
G5501310,440.9062201976776
G2601410,429.12665915489197
G5501110,411.657856464386
G1901550,329.4621591567993
G4200070,374.29782938957214
G3100350,413.25514245033264
G2900890,434.5282733440399
G1701270,445.9313328266144
G1701150,429.6142542362213
G3700990,414.4450147151947
G4200270,388.38480281829834
G2700050,427.96943402290344
G5501030,378.180064201355
G3600070,439.17873215675354
G2701470,433.8730945587158
G3000810,470.72287225723267
G1701650,438.2012417316437
G1900870,391.7378532886505
G5101370,326.23465728759766
G1700670,368.7382743358612
G2701530,384.66579008102417
G2900030,431.0996334552765
G1700370,473.1568646430969
G2000830,440.57865738868713
G2001670,398.2501611709595
G2101650,366.43481612205505
G2901530,436.83154296875
G2700910,429.4463860988617
G4600950,381.7997374534607
G1800310,407.04365944862366
G1800790,374.5207214355469
G1700590,333.42985582351685
G1701810,373.573344707489
G5100470,439.0806198120117
G3100730,436.324166059494
G2100570,384.15184020996094
G3800530,437.31885743141174
G4600930,386.63783168792725
G0600030,301.1619575023651
